ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Dependents,Property_area_Semiurban,Property_area_Urban,Property_area_Rural,Gender,Married,Education,Self_Employed,Loan_Status
11146.0,0.0,136.0,360.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,1
6216.0,0.0,133.0,360.0,1.0,0.0,1.0,0.0,0.0,1,0,1,0,0
7578.0,1010.0,175.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1
8334.0,0.0,160.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,0
12000.0,0.0,164.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0
11000.0,0.0,83.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,1,0
9323.0,0.0,75.0,180.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,1
7085.0,0.0,84.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,0,1,1
15759.0,0.0,55.0,360.0,1.0,0.0,0.0,1.0,0.0,0,0,0,1,1
6822.0,0.0,141.0,360.0,1.0,0.0,1.0,0.0,0.0,1,0,0,1,1
7142.0,0.0,138.0,360.0,1.0,0.0,1.0,0.0,0.0,0,1,1,1,1
6250.0,0.0,128.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1
6783.0,0.0,130.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,1,0,1
5821.0,0.0,144.0,360.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,1
5316.0,0.0,136.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,1
6000.0,0.0,141.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,1
20667.0,0.0,128.0,360.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,0
6406.0,0.0,150.0,360.0,1.0,3.0,0.0,1.0,0.0,1,1,0,0,0
6256.0,0.0,160.0,360.0,1.0,0.0,0.0,0.0,1.0,1,1,0,2,1
4160.0,0.0,71.0,360.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1
6608.0,0.0,137.0,180.0,1.0,1.0,0.0,0.0,1.0,1,1,1,0,1
14880.0,0.0,96.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1
7200.0,0.0,120.0,360.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1
6950.0,0.0,175.0,180.0,1.0,0.0,0.0,1.0,0.0,1,0,0,1,1
3858.0,0.0,76.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,1
4600.0,0.0,73.0,180.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1
5829.0,0.0,138.0,360.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,1
4583.0,0.0,84.0,360.0,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0
4300.0,0.0,136.0,360.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0
4344.0,736.0,87.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,0
6782.0,0.0,128.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,2,0
4887.0,0.0,133.0,360.0,1.0,0.0,1.0,0.0,0.0,1,1,1,0,0
7660.0,0.0,104.0,360.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0,0
5000.0,0.0,132.0,360.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1
13262.0,0.0,40.0,360.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1
7167.0,0.0,128.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,1,1
6277.0,0.0,118.0,360.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0
18165.0,0.0,125.0,360.0,1.0,0.0,0.0,0.0,1.0,0,0,1,1,1
6325.0,0.0,175.0,360.0,1.0,1.0,0.0,1.0,0.0,1,1,0,0,1
4885.0,0.0,48.0,360.0,1.0,0.0,1.0,0.0,0.0,1,0,1,0,1
14866.0,0.0,70.0,360.0,1.0,2.0,0.0,0.0,1.0,0,1,0,0,1
6500.0,0.0,105.0,360.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0
3667.0,1459.0,144.0,360.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1
4310.0,0.0,130.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1
3600.0,0.0,80.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0
4350.0,0.0,154.0,360.0,1.0,0.0,1.0,0.0,0.0,0,0,1,0,1
4301.0,0.0,118.0,360.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,1
3103.0,1300.0,80.0,360.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,1
6417.0,0.0,157.0,180.0,1.0,3.0,1.0,0.0,0.0,1,1,0,0,1
6033.0,0.0,160.0,360.0,1.0,0.0,0.0,0.0,1.0,1,1,1,0,0
5417.0,0.0,168.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,1
3237.0,0.0,30.0,360.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1
3167.0,0.0,74.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0
3069.0,0.0,71.0,480.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0
2995.0,0.0,60.0,360.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1
3244.0,0.0,80.0,360.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1
4547.0,0.0,115.0,360.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1
3333.0,0.0,70.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,1
3254.0,0.0,50.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,1
4408.0,0.0,120.0,360.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,1
5849.0,0.0,128.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,1
3246.0,1417.0,138.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1
16525.0,1014.0,150.0,360.0,1.0,2.0,1.0,0.0,0.0,1,1,0,1,1
3410.0,0.0,88.0,360.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1
3620.0,0.0,25.0,120.0,1.0,0.0,0.0,1.0,0.0,1,0,1,0,1
4188.0,0.0,115.0,180.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,1
7333.0,0.0,120.0,360.0,1.0,0.0,1.0,0.0,0.0,1,0,1,2,0
4124.0,0.0,115.0,360.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1
4133.0,0.0,122.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,1
4230.0,0.0,112.0,360.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0
4708.0,1387.0,150.0,360.0,1.0,2.0,0.0,1.0,0.0,1,1,0,0,1
4950.0,0.0,125.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,1
3166.0,0.0,36.0,360.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1
9328.0,0.0,188.0,180.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,1
4467.0,0.0,120.0,360.0,1.0,0.0,1.0,0.0,0.0,1,1,1,0,1
4191.0,0.0,120.0,360.0,1.0,0.0,1.0,0.0,0.0,1,0,0,0,1
3814.0,1483.0,124.0,300.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,1
2917.0,0.0,84.0,360.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1
3180.0,0.0,71.0,360.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
4860.0,830.0,125.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1
3510.0,0.0,76.0,360.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
5800.0,0.0,132.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,1,1,1
4100.0,0.0,124.0,360.0,1.0,0.0,1.0,0.0,0.0,0,1,1,0,1
4166.0,0.0,116.0,360.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0
3539.0,1376.0,55.0,360.0,1.0,0.0,1.0,0.0,0.0,1,1,0,2,0
5488.0,0.0,125.0,360.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,1
4666.0,0.0,135.0,360.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,1
2917.0,536.0,66.0,360.0,1.0,0.0,1.0,0.0,0.0,1,1,1,0,0
4616.0,0.0,134.0,360.0,1.0,2.0,0.0,0.0,1.0,1,1,0,0,0
2920.0,16.12000084,87.0,360.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,1
3716.0,0.0,42.0,180.0,1.0,0.0,1.0,0.0,0.0,1,1,0,2,1
3927.0,800.0,112.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1
7740.0,0.0,128.0,180.0,1.0,3.0,0.0,0.0,1.0,1,1,0,0,1
4354.0,0.0,136.0,360.0,1.0,2.0,1.0,0.0,0.0,1,0,0,0,1
4554.0,1229.0,158.0,360.0,1.0,1.0,0.0,0.0,1.0,1,1,1,0,1
3459.0,0.0,25.0,120.0,1.0,0.0,0.0,1.0,0.0,1,1,0,1,1
5468.0,1032.0,26.0,360.0,1.0,1.0,0.0,1.0,0.0,1,1,0,0,1
3846.0,0.0,111.0,360.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1
3865.0,1640.0,128.0,360.0,1.0,0.0,1.0,0.0,0.0,1,0,0,0,1
3875.0,0.0,67.0,360.0,1.0,1.0,0.0,0.0,1.0,1,1,0,0,0
4166.0,0.0,98.0,360.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0
4167.0,1447.0,158.0,360.0,1.0,2.0,1.0,0.0,0.0,1,1,0,0,1
8300.0,0.0,152.0,300.0,0.0,1.0,0.0,1.0,0.0,1,1,0,0,0
9703.0,0.0,112.0,360.0,1.0,2.0,0.0,0.0,1.0,1,1,0,0,1
6125.0,1625.0,187.0,480.0,1.0,2.0,0.0,1.0,0.0,1,1,1,0,0
4006.0,1526.0,168.0,360.0,1.0,2.0,0.0,0.0,1.0,1,1,0,0,1
4895.0,0.0,102.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,1
4583.0,0.0,133.0,360.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0
4606.0,0.0,81.0,360.0,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0
5935.0,0.0,133.0,360.0,1.0,2.0,0.0,1.0,0.0,1,1,0,0,1
3750.0,0.0,113.0,480.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0
5649.0,0.0,44.0,360.0,1.0,1.0,0.0,0.0,1.0,1,1,0,0,1
3500.0,1083.0,135.0,360.0,1.0,1.0,0.0,0.0,1.0,1,1,1,0,1
3153.0,1560.0,134.0,360.0,1.0,2.0,0.0,0.0,1.0,1,1,0,0,1
2346.0,1600.0,132.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,1,0,1
2400.0,0.0,75.0,360.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,1
1800.0,1213.0,47.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,1
3418.0,0.0,127.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0
3833.0,0.0,110.0,360.0,1.0,0.0,1.0,0.0,0.0,1,0,1,0,1
1442.0,0.0,35.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,1,0,0
17070.798725436645,40.03336320886096,160.20168076885244,355.8976432525523,0.9867577403197112,1.03467034717091,0.03911161620054321,0.8936138354552825,0.0689701325137657,0,1,0,2,1
3988.0,0.0,50.0,240.0,1.0,1.0,0.0,0.0,1.0,1,1,0,0,1
6045.0,0.0,115.0,360.0,0.0,0.0,1.0,0.0,0.0,1,0,1,0,0
3987.0,1411.0,157.0,360.0,1.0,2.0,1.0,0.0,0.0,1,1,1,0,1
3250.0,0.0,170.0,360.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,0
2435.0,0.0,75.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0
2479.0,0.0,59.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,1
2500.0,0.0,67.0,360.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1
10833.0,0.0,234.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1
14583.0,0.0,436.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1
3900.0,0.0,90.0,360.0,1.0,2.0,0.0,1.0,0.0,1,1,0,0,1
4917.0,0.0,130.0,360.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,1
3086.0,0.0,120.0,360.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1
7933.0,0.0,275.0,360.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,0
2667.0,1625.0,84.0,360.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1
8566.0,0.0,210.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,1
10408.0,0.0,259.0,360.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1
9166.0,0.0,244.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0
10000.0,0.0,214.0,360.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0
1977.0,997.0,50.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1
2876.0,1560.0,90.0,360.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1
4583.0,1508.0,128.0,360.0,1.0,1.0,1.0,0.0,0.0,1,1,0,0,0
3033.0,1459.0,95.0,360.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,1
1963.0,0.0,53.0,360.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,1
2165.0,0.0,70.0,360.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,1
4695.0,0.0,96.0,360.0,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1
3775.0,0.0,110.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1
9167.0,0.0,185.0,360.0,1.0,3.0,1.0,0.0,0.0,1,0,0,0,1
7451.0,0.0,128.0,360.0,1.0,1.0,0.0,1.0,0.0,0,0,0,1,1
5500.0,1260.0,170.0,360.0,1.0,1.0,1.0,0.0,0.0,1,1,0,0,1
7667.0,0.0,185.0,360.0,1.0,2.0,1.0,0.0,0.0,1,1,1,0,1
2500.0,0.0,55.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,1
2718.0,0.0,70.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,1
5007.03932766653,669.104444859894,50.39828785451385,352.3997647583894,0.2142768784994111,0.16247608908627462,0.02656666352548836,0.0012020822168249533,0.054942861205298545,0,0,1,1,0
2221.0,0.0,60.0,360.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0,0
4200.0,1430.0,129.0,360.0,1.0,2.0,1.0,0.0,0.0,1,1,1,0,0
3692.0,0.0,93.0,360.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1
3598.0,1287.0,100.0,360.0,1.0,0.0,1.0,0.0,0.0,1,0,1,0,0
3427.0,0.0,138.0,360.0,1.0,2.0,0.0,0.0,1.0,0,0,0,0,0
2720.0,0.0,80.0,360.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0
2717.0,0.0,60.0,180.0,1.0,0.0,0.0,0.0,1.0,1,0,1,0,1
2378.0,0.0,46.0,360.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0
9538.0,0.0,187.0,360.0,1.0,1.0,0.0,0.0,1.0,1,1,0,0,1
2213.0,0.0,66.0,360.0,1.0,0.0,1.0,0.0,0.0,0,0,1,0,1
3418.0,0.0,135.0,360.0,1.0,0.0,1.0,0.0,0.0,0,0,0,2,0
3017.0,663.0,102.0,360.0,1.0,0.0,0.0,1.0,0.0,0,1,1,0,1
3691.0,0.0,110.0,360.0,1.0,0.0,1.0,0.0,0.0,1,0,1,0,1
3159.0,0.0,100.0,360.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1
5185.0,0.0,155.0,360.0,1.0,2.0,0.0,1.0,0.0,1,1,0,0,1
11757.0,0.0,187.0,180.0,1.0,2.0,0.0,0.0,1.0,1,1,0,0,1
7100.0,0.0,125.0,60.0,1.0,3.0,0.0,0.0,1.0,1,1,1,1,1
3276.0,484.0,135.0,360.0,1.0,2.0,0.0,1.0,0.0,1,1,0,0,1
6400.0,0.0,200.0,360.0,1.0,0.0,1.0,0.0,0.0,1,0,0,1,1
2213.0,1125.0,128.0,360.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,1
5050.0,0.0,118.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,0,2,1
2507.0,0.0,56.0,360.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1
9560.0,0.0,191.0,360.0,1.0,0.0,0.0,1.0,0.0,1,1,0,1,1
4342.0,189.0,124.0,360.0,1.0,3.0,0.0,1.0,0.0,1,1,0,0,1
2935.0,0.0,98.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,1
6096.0,0.0,218.0,360.0,0.0,0.0,1.0,0.0,0.0,1,1,1,0,0
2000.0,0.0,128.0,360.0,1.0,0.0,0.0,0.0,1.0,1,0,1,0,0
5333.0,1131.0,186.0,360.0,1.0,1.0,0.0,0.0,1.0,1,1,1,0,1
7441.0,0.0,194.0,360.0,1.0,0.0,1.0,0.0,0.0,0,0,0,1,0
6383.0,1000.0,187.0,360.0,1.0,2.0,1.0,0.0,0.0,1,1,1,1,0
14583.0,0.0,185.0,180.0,1.0,1.0,1.0,0.0,0.0,1,1,0,0,1
6000.0,0.0,160.0,360.0,1.0,1.0,1.0,0.0,0.0,1,1,0,0,1
4226.0,1040.0,110.0,360.0,1.0,2.0,0.0,0.0,1.0,1,1,1,0,1
2755.0,0.0,65.0,300.0,1.0,0.0,1.0,0.0,0.0,1,0,1,0,0
3762.0,1666.0,135.0,360.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1
5285.0,1430.0,161.0,360.0,0.0,1.0,0.0,1.0,0.0,1,1,1,0,1
2423.0,505.0,130.0,360.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1
8000.0,0.0,200.0,360.0,1.0,2.0,0.0,1.0,0.0,1,1,0,0,1
2957.0,0.0,81.0,360.0,1.0,2.0,0.0,1.0,0.0,1,1,0,0,1
3917.0,0.0,124.0,360.0,1.0,2.0,0.0,1.0,0.0,1,1,1,0,1
5191.0,0.0,132.0,360.0,1.0,1.0,0.0,1.0,0.0,0,0,1,2,1
3173.0,0.0,74.0,360.0,1.0,3.0,0.0,1.0,0.0,1,1,1,0,1
16120.0,0.0,260.0,360.0,1.0,0.0,0.0,0.0,1.0,1,1,0,1,1
6875.0,0.0,200.0,360.0,1.0,1.0,0.0,1.0,0.0,1,1,0,0,1
12876.0,0.0,405.0,360.0,1.0,0.0,0.0,1.0,0.0,1,0,0,2,1
17263.0,0.0,225.0,360.0,1.0,0.0,0.0,1.0,0.0,0,0,1,1,1
4566.0,0.0,100.0,360.0,1.0,2.0,0.0,0.0,1.0,1,1,0,0,0
4281.0,0.0,100.0,360.0,1.0,3.0,0.0,0.0,1.0,1,1,0,0,1
5000.0,0.0,72.0,360.0,0.0,2.0,0.0,1.0,0.0,1,1,0,2,0
2947.0,1603.0,128.0,360.0,1.0,2.0,0.0,0.0,1.0,1,1,0,0,0
4923.0,0.0,166.0,360.0,0.0,2.0,0.0,1.0,0.0,1,0,0,0,1
3155.0,1779.0,140.0,360.0,1.0,1.0,0.0,1.0,0.0,1,1,0,0,1
4831.268158513647,659.2746245547924,90.81714173413846,130.52284991594746,0.9701374058392437,2.7960318428462085,0.8880050870181426,0.9404720056541752,0.9612184136846091,1,1,1,1,0
6540.0,0.0,205.0,360.0,1.0,2.0,0.0,1.0,0.0,1,1,0,0,1
3463.0,0.0,122.0,360.0,1.0,0.0,0.0,0.0,1.0,0,0,0,1,1
3547.0,0.0,80.0,360.0,0.0,2.0,1.0,0.0,0.0,1,0,0,0,0
11250.0,0.0,196.0,360.0,1.0,1.0,0.0,1.0,0.0,1,0,0,0,0
4931.0,0.0,128.0,360.0,1.0,3.0,0.0,1.0,0.0,1,1,1,0,0
16250.0,0.0,192.0,360.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,0
5746.0,0.0,144.0,84.0,1.0,2.0,1.0,0.0,0.0,1,1,0,1,1
2214.0,1398.0,85.0,360.0,1.0,1.0,0.0,0.0,1.0,1,1,0,0,1
1538.0,1425.0,30.0,360.0,1.0,1.0,0.0,0.0,1.0,1,1,0,0,1
8333.0,0.0,246.0,360.0,1.0,2.0,0.0,1.0,0.0,1,1,0,0,1
15000.0,0.0,300.0,360.0,1.0,3.0,1.0,0.0,0.0,1,1,0,0,1
9504.0,0.0,275.0,360.0,1.0,3.0,1.0,0.0,0.0,1,1,0,0,1
3812.0,0.0,112.0,360.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,1
5500.0,0.0,105.0,360.0,0.0,0.0,1.0,0.0,0.0,0,1,0,1,0
3601.0,1590.0,128.0,360.0,1.0,2.0,1.0,0.0,0.0,1,1,1,0,1
2647.0,1587.0,173.0,360.0,1.0,3.0,1.0,0.0,0.0,1,1,1,0,0
2889.0,0.0,45.0,180.0,0.0,2.0,0.0,0.0,1.0,1,1,1,0,0
5395.814340363653,89.46738713496906,95.98571818604512,360.6083086320159,0.9762397841531134,0.9586405601811572,0.0383299305102958,0.8407442728984187,0.9099118601048718,0,0,0,0,0
8445.156147167992,202.4160483155215,211.2325100943576,282.8120783396603,0.17838404801953014,1.8884698818759145,0.9791510431436824,0.9329105700346914,0.03195859127754229,0,0,1,0,1
4691.0,0.0,100.0,360.0,1.0,3.0,0.0,1.0,0.0,1,1,0,0,1
3100.0,1400.0,113.0,360.0,1.0,2.0,0.0,0.0,1.0,1,1,0,0,1
3750.0,0.0,116.0,360.0,1.0,1.0,0.0,1.0,0.0,1,1,0,0,1
8072.0,240.0,253.0,360.0,1.0,1.0,0.0,0.0,1.0,1,1,0,0,1
10750.0,0.0,312.0,360.0,1.0,1.0,0.0,0.0,1.0,1,1,0,0,1
5780.0,0.0,192.0,360.0,1.0,2.0,0.0,0.0,1.0,1,1,0,0,1
33846.0,0.0,260.0,360.0,1.0,1.0,0.0,1.0,0.0,1,1,0,0,0
5746.0,0.0,255.0,360.0,1.0,0.0,0.0,0.0,1.0,1,1,0,2,0
5250.0,0.0,94.0,360.0,1.0,3.0,0.0,0.0,1.0,1,1,0,0,0
